2025-04-16 01:23:30,275 - __main__ - INFO - Starting summarization pipeline with config: config/config.yaml
2025-04-16 01:23:30,275 - absl - INFO - Using default tokenizer.
2025-04-16 01:23:30,275 - __main__ - INFO - Running in full pipeline mode
2025-04-16 01:23:30,275 - src.pipeline - INFO - Starting pipeline execution
2025-04-16 01:23:30,275 - src.pipeline - INFO - Initializing pipeline components
2025-04-16 01:23:30,275 - src.data_loader - INFO - Loading dataset: samsum
2025-04-16 01:23:44,720 - src.data_loader - INFO - Dataset loaded successfully with 14732 training samples
2025-04-16 01:23:44,721 - src.data_loader - INFO - Initializing tokenizer for model: facebook/bart-large-cnn
2025-04-16 01:23:46,085 - src.model - INFO - Loading model: facebook/bart-large-cnn
2025-04-16 01:23:52,382 - src.model - INFO - Model loaded successfully on device: 0
2025-04-16 01:23:52,382 - src.pipeline - INFO - Running batch inference on 100 samples
2025-04-16 01:23:52,384 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:23:54,415 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:23:55,326 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:23:56,076 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:23:56,682 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:23:57,553 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:23:58,735 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:23:59,553 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:24:00,385 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:24:00,914 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
2025-04-16 01:24:01,608 - src.model - INFO - Generating summary with parameters: {'max_length': 150, 'min_length': 30, 'do_sample': False, 'early_stopping': True}
